token,index,name,count,ICD-10 Chapter,ICD-10 Chapter (short),color,labels_short,type
0,0,Padding,,Technical,Technical,#2a52be,Padding,covars
1,1,No event,,Technical,Technical,#2a52be,No event,covars
2,2,Female,218608,Sex,Sex,#bcbd22,Female,covars
3,3,Male,183444,Sex,Sex,#bcbd22,Male,covars
4,4,BMI low,37912,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,BMI low,covars
5,5,BMI mid,206718,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,BMI mid,covars
6,6,BMI high,154955,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,BMI high,covars
7,7,Smoking low,358649,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,Smoking low,covars
8,8,Smoking mid,11013,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,Smoking mid,covars
9,9,Smoking high,31346,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,Smoking high,covars
10,10,Alcohol low,123582,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,Alcohol low,covars
11,11,Alcohol mid,195659,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,Alcohol mid,covars
12,12,Alcohol high,81611,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,Alcohol high,covars
13,13,A00 Cholera,22,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A00,icdcodes
14,14,A01 Typhoid and paratyphoid fevers,132,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A01,icdcodes
15,15,A02 Other salmonella infections,622,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A02,icdcodes
16,16,A03 Shigellosis,170,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A03,icdcodes
17,17,A04 Other bacterial intestinal infections,6494,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A04,icdcodes
18,18,A05 Other bacterial foodborne intoxications,305,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A05,icdcodes
19,19,A06 Amoebiasis,98,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A06,icdcodes
20,20,A07 Other protozoal intestinal diseases,401,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A07,icdcodes
21,21,A08 Viral and other specified intestinal infections,4384,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A08,icdcodes
22,22,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,17287,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A09,icdcodes
23,23,"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",2176,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A15,icdcodes
24,24,"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",528,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A16,icdcodes
25,25,A17 Tuberculosis of nervous system,13,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A17,icdcodes
26,26,A18 Tuberculosis of other organs,156,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A18,icdcodes
27,27,A19 Miliary tuberculosis,16,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A19,icdcodes
28,28,A20 Plague,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A20,icdcodes
29,29,A22 Anthrax,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A22,icdcodes
30,30,A23 Brucellosis,27,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A23,icdcodes
31,31,A24 Glanders and melioidosis,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A24,icdcodes
32,32,A25 Rat-bite fevers,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A25,icdcodes
33,33,A26 Erysipeloid,11,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A26,icdcodes
34,34,A27 Leptospirosis,25,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A27,icdcodes
35,35,"A28 Other zoonotic bacterial diseases, not elsewhere classified",45,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A28,icdcodes
36,36,A30 Leprosy [hansen's disease],2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A30,icdcodes
37,37,A31 Infection due to other mycobacteria,107,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A31,icdcodes
38,38,A32 Listeriosis,20,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A32,icdcodes
39,39,A33 Tetanus neonatorum,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A33,icdcodes
40,40,A35 Other tetanus,98,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A35,icdcodes
41,41,A36 Diphtheria,118,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A36,icdcodes
42,42,A37 Whooping cough,1699,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A37,icdcodes
43,43,A38 Scarlet fever,1061,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A38,icdcodes
44,44,A39 Meningococcal infection,86,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A39,icdcodes
45,45,A40 Streptococcal septicaemia,575,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A40,icdcodes
46,46,A41 Other septicaemia,10621,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A41,icdcodes
47,47,A42 Actinomycosis,171,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A42,icdcodes
48,48,A43 Nocardiosis,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A43,icdcodes
49,49,A44 Bartonellosis,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A44,icdcodes
50,50,A46 Erysipelas,255,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A46,icdcodes
51,51,"A48 Other bacterial diseases, not elsewhere classified",175,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A48,icdcodes
52,52,A49 Bacterial infection of unspecified site,1887,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A49,icdcodes
53,53,A50 Congenital syphilis,9,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A50,icdcodes
54,54,A51 Early syphilis,15,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A51,icdcodes
55,55,A52 Late syphilis,17,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A52,icdcodes
56,56,A53 Other and unspecified syphilis,24,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A53,icdcodes
57,57,A54 Gonococcal infection,223,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A54,icdcodes
58,58,A55 Chlamydial lymphogranuloma venereum,4,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A55,icdcodes
59,59,A56 Other sexually transmitted chlamydial diseases,66,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A56,icdcodes
60,60,A58 Granuloma inguinale,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A58,icdcodes
61,61,A59 Trichomoniasis,76,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A59,icdcodes
62,62,A60 Anogenital herpesviral [herpes simplex] infections,352,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A60,icdcodes
63,63,"A63 Other predominantly sexually transmitted diseases, not elsewhere classified",1442,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A63,icdcodes
64,64,A64 Unspecified sexually transmitted disease,3,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A64,icdcodes
65,65,A66 Yaws,15,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A66,icdcodes
66,66,A67 Pinta [carate],6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A67,icdcodes
67,67,A68 Relapsing fevers,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A68,icdcodes
68,68,A69 Other spirochaetal infections,246,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A69,icdcodes
69,69,A70 Chlamydia psittaci infection,27,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A70,icdcodes
70,70,A71 Trachoma,31,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A71,icdcodes
71,71,A74 Other diseases caused by chlamydiae,21,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A74,icdcodes
72,72,A75 Typhus fever,5,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A75,icdcodes
73,73,A77 Spotted fever [tick-borne rickettsioses],21,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A77,icdcodes
74,74,A78 Q fever,10,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A78,icdcodes
75,75,A79 Other rickettsioses,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A79,icdcodes
76,76,A80 Acute poliomyelitis,415,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A80,icdcodes
77,77,A81 Atypical virus infections of central nervous system,49,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A81,icdcodes
78,78,A82 Rabies,16,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A82,icdcodes
79,79,A83 Mosquito-borne viral encephalitis,26,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A83,icdcodes
80,80,A84 Tick-borne viral encephalitis,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A84,icdcodes
81,81,"A85 Other viral encephalitis, not elsewhere classified",11,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A85,icdcodes
82,82,A86 Unspecified viral encephalitis,100,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A86,icdcodes
83,83,A87 Viral meningitis,406,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A87,icdcodes
84,84,"A88 Other viral infections of central nervous system, not elsewhere classified",20,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A88,icdcodes
85,85,A89 Unspecified viral infection of central nervous system,31,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A89,icdcodes
86,86,A90 Dengue fever [classical dengue],8,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A90,icdcodes
87,87,A91 Dengue haemorrhagic fever,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A91,icdcodes
88,88,A92 Other mosquito-borne viral fevers,9,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A92,icdcodes
89,89,"A93 Other arthropod-borne viral fevers, not elsewhere classified",8,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A93,icdcodes
90,90,A94 Unspecified arthropod-borne viral fever,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A94,icdcodes
91,91,A95 Yellow fever,58,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A95,icdcodes
92,92,A97 Dengue,32,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A97,icdcodes
93,93,"A98 Other viral haemorrhagic fevers, not elsewhere classified",1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A98,icdcodes
94,94,B00 Herpesviral [herpes simplex] infections,3792,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B00,icdcodes
95,95,B01 Varicella [chickenpox],9614,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B01,icdcodes
96,96,B02 Zoster [herpes zoster],12959,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B02,icdcodes
97,97,B03 Smallpox,13,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B03,icdcodes
98,98,B05 Measles,6880,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B05,icdcodes
99,99,B06 Rubella [german measles],2650,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B06,icdcodes
100,100,B07 Viral warts,14183,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B07,icdcodes
101,101,"B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified",830,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B08,icdcodes
102,102,B09 Unspecified viral infection characterised by skin and mucous membrane lesions,23,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B09,icdcodes
103,103,B15 Acute hepatitis a,882,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B15,icdcodes
104,104,B16 Acute hepatitis b,213,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B16,icdcodes
105,105,B17 Other acute viral hepatitis,235,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B17,icdcodes
106,106,B18 Chronic viral hepatitis,653,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B18,icdcodes
107,107,B19 Unspecified viral hepatitis,1088,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B19,icdcodes
108,108,B20 Human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases,51,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B20,icdcodes
109,109,B21 Human immunodeficiency virus [hiv] disease resulting in malignant neoplasms,10,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B21,icdcodes
110,110,B22 Human immunodeficiency virus [hiv] disease resulting in other specified diseases,7,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B22,icdcodes
111,111,B23 Human immunodeficiency virus [hiv] disease resulting in other conditions,27,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B23,icdcodes
112,112,B24 Unspecified human immunodeficiency virus [hiv] disease,391,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B24,icdcodes
113,113,B25 Cytomegaloviral disease,222,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B25,icdcodes
114,114,B26 Mumps,4436,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B26,icdcodes
115,115,B27 Infectious mononucleosis,2631,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B27,icdcodes
116,116,B30 Viral conjunctivitis,163,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B30,icdcodes
117,117,"B33 Other viral diseases, not elsewhere classified",203,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B33,icdcodes
118,118,B34 Viral infection of unspecified site,9617,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B34,icdcodes
119,119,B35 Dermatophytosis,26472,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B35,icdcodes
120,120,B36 Other superficial mycoses,4598,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B36,icdcodes
121,121,B37 Candidiasis,9367,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B37,icdcodes
122,122,B38 Coccidioidomycosis,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B38,icdcodes
123,123,B39 Histoplasmosis,8,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B39,icdcodes
124,124,B40 Blastomycosis,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B40,icdcodes
125,125,B42 Sporotrichosis,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B42,icdcodes
126,126,B43 Chromomycosis and phaeomycotic abscess,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B43,icdcodes
127,127,B44 Aspergillosis,338,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B44,icdcodes
128,128,B45 Cryptococcosis,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B45,icdcodes
129,129,B46 Zygomycosis,2,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B46,icdcodes
130,130,B47 Mycetoma,18,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B47,icdcodes
131,131,"B48 Other mycoses, not elsewhere classified",26,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B48,icdcodes
132,132,B49 Unspecified mycosis,414,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B49,icdcodes
133,133,B50 Plasmodium falciparum malaria,145,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B50,icdcodes
134,134,B51 Plasmodium vivax malaria,34,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B51,icdcodes
135,135,B52 Plasmodium malariae malaria,4,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B52,icdcodes
136,136,B53 Other parasitologically confirmed malaria,4,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B53,icdcodes
137,137,B54 Unspecified malaria,695,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B54,icdcodes
138,138,B55 Leishmaniasis,16,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B55,icdcodes
139,139,B57 Chagas' disease,1,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B57,icdcodes
140,140,B58 Toxoplasmosis,45,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B58,icdcodes
141,141,B59 Pneumocystosis,118,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B59,icdcodes
142,142,"B60 Other protozoal diseases, not elsewhere classified",11,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B60,icdcodes
143,143,B65 Schistosomiasis [bilharziasis],91,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B65,icdcodes
144,144,B66 Other fluke infections,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B66,icdcodes
145,145,B67 Echinococcosis,9,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B67,icdcodes
146,146,B68 Taeniasis,7,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B68,icdcodes
147,147,B69 Cysticercosis,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B69,icdcodes
148,148,B71 Other cestode infections,12,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B71,icdcodes
149,149,B73 Onchocerciasis,17,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B73,icdcodes
150,150,B74 Filariasis,4,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B74,icdcodes
151,151,B75 Trichinellosis,,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B75,icdcodes
152,152,B76 Hookworm diseases,28,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B76,icdcodes
153,153,B77 Ascariasis,9,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B77,icdcodes
154,154,B78 Strongyloidiasis,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B78,icdcodes
155,155,B79 Trichuriasis,4,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B79,icdcodes
156,156,B80 Enterobiasis,592,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B80,icdcodes
157,157,"B81 Other intestinal helminthiases, not elsewhere classified",14,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B81,icdcodes
158,158,B82 Unspecified intestinal parasitism,73,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B82,icdcodes
159,159,B83 Other helminthiases,62,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B83,icdcodes
160,160,B85 Pediculosis and phthiriasis,258,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B85,icdcodes
161,161,B86 Scabies,1933,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B86,icdcodes
162,162,B87 Myiasis,6,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B87,icdcodes
163,163,B88 Other infestations,146,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B88,icdcodes
164,164,B89 Unspecified parasitic disease,4,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B89,icdcodes
165,165,B90 Sequelae of tuberculosis,43,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B90,icdcodes
166,166,B91 Sequelae of poliomyelitis,192,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B91,icdcodes
167,167,B94 Sequelae of other and unspecified infectious and parasitic diseases,107,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B94,icdcodes
168,168,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,6513,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B95,icdcodes
169,169,B96 Other bacterial agents as the cause of diseases classified to other chapters,13531,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B96,icdcodes
170,170,B97 Viral agents as the cause of diseases classified to other chapters,1528,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B97,icdcodes
171,171,B98 Other specified infectious agents as the cause of diseases classified to other chapters,3483,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B98,icdcodes
172,172,B99 Other and unspecified infectious diseases,769,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,B99,icdcodes
173,173,D50 Iron deficiency anaemia,22221,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D50,icdcodes
174,174,D51 Vitamin b12 deficiency anaemia,2904,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D51,icdcodes
175,175,D52 Folate deficiency anaemia,601,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D52,icdcodes
176,176,D53 Other nutritional anaemias,202,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D53,icdcodes
177,177,D55 Anaemia due to enzyme disorders,26,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D55,icdcodes
178,178,D56 Thalassaemia,553,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D56,icdcodes
179,179,D57 Sickle-cell disorders,548,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D57,icdcodes
180,180,D58 Other hereditary haemolytic anaemias,224,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D58,icdcodes
181,181,D59 Acquired haemolytic anaemia,270,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D59,icdcodes
182,182,D60 Acquired pure red cell aplasia [erythroblastopenia],17,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D60,icdcodes
183,183,D61 Other aplastic anaemias,1118,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D61,icdcodes
184,184,D62 Acute posthaemorrhagic anaemia,350,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D62,icdcodes
185,185,D63 Anaemia in chronic diseases classified elsewhere,1270,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D63,icdcodes
186,186,D64 Other anaemias,23404,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D64,icdcodes
187,187,D65 Disseminated intravascular coagulation [defibrination syndrome],70,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D65,icdcodes
188,188,D66 Hereditary factor viii deficiency,112,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D66,icdcodes
189,189,D67 Hereditary factor ix deficiency,24,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D67,icdcodes
190,190,D68 Other coagulation defects,2007,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D68,icdcodes
191,191,D69 Purpura and other haemorrhagic conditions,4077,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D69,icdcodes
192,192,D70 Agranulocytosis,5577,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D70,icdcodes
193,193,D71 Functional disorders of polymorphonuclear neutrophils,27,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D71,icdcodes
194,194,D72 Other disorders of white blood cells,1124,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D72,icdcodes
195,195,D73 Diseases of spleen,945,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D73,icdcodes
196,196,D74 Methaemoglobinaemia,7,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D74,icdcodes
197,197,D75 Other diseases of blood and blood-forming organs,1837,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D75,icdcodes
198,198,D76 Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,95,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D76,icdcodes
199,199,D77 Other disorders of blood and blood-forming organs in diseases classified elsewhere,5,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D77,icdcodes
200,200,D80 Immunodeficiency with predominantly antibody defects,315,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D80,icdcodes
201,201,D81 Combined immunodeficiencies,11,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D81,icdcodes
202,202,D82 Immunodeficiency associated with other major defects,34,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D82,icdcodes
203,203,D83 Common variable immunodeficiency,36,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D83,icdcodes
204,204,D84 Other immunodeficiencies,143,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D84,icdcodes
205,205,D86 Sarcoidosis,1626,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,D86,icdcodes
